mfcc_0_mean,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_0_std,mfcc_1_std,mfcc_2_std,mfcc_3_std,mfcc_4_std,mfcc_5_std,mfcc_6_std,mfcc_7_std,mfcc_8_std,mfcc_9_std,mfcc_10_std,mfcc_11_std,mfcc_12_std,mfcc_0_max,mfcc_1_max,mfcc_2_max,mfcc_3_max,mfcc_4_max,mfcc_5_max,mfcc_6_max,mfcc_7_max,mfcc_8_max,mfcc_9_max,mfcc_10_max,mfcc_11_max,mfcc_12_max,mfcc_0_min,mfcc_1_min,mfcc_2_min,mfcc_3_min,mfcc_4_min,mfcc_5_min,mfcc_6_min,mfcc_7_min,mfcc_8_min,mfcc_9_min,mfcc_10_min,mfcc_11_min,mfcc_12_min,mfcc_0_median,mfcc_1_median,mfcc_2_median,mfcc_3_median,mfcc_4_median,mfcc_5_median,mfcc_6_median,mfcc_7_median,mfcc_8_median,mfcc_9_median,mfcc_10_median,mfcc_11_median,mfcc_12_median,mfcc_0_skew,mfcc_1_skew,mfcc_2_skew,mfcc_3_skew,mfcc_4_skew,mfcc_5_skew,mfcc_6_skew,mfcc_7_skew,mfcc_8_skew,mfcc_9_skew,mfcc_10_skew,mfcc_11_skew,mfcc_12_skew,mfcc_0_kurt,mfcc_1_kurt,mfcc_2_kurt,mfcc_3_kurt,mfcc_4_kurt,mfcc_5_kurt,mfcc_6_kurt,mfcc_7_kurt,mfcc_8_kurt,mfcc_9_kurt,mfcc_10_kurt,mfcc_11_kurt,mfcc_12_kurt,label,arquivo_origem
-255.2891,25.876123,-99.5847,8.573399,-10.195068,-15.466504,-15.407344,-5.011153,-14.381375,-10.260466,-14.232344,-4.247225,-15.152838,21.896448,14.113814,16.614382,10.407011,9.308171,9.147345,9.094196,7.3476,9.818025,8.017574,8.907006,8.351518,7.046218,-172.61613,57.90411,-46.267273,40.44541,16.202953,8.51849,14.1911545,18.198914,7.6383047,10.872944,12.061132,21.460499,7.8317933,-298.2144,-32.505524,-144.35158,-32.083935,-41.93553,-39.505318,-36.032635,-22.238255,-50.04705,-33.58885,-37.7213,-32.08845,-36.078415,-257.15927,28.343967,-100.47629,8.079006,-10.029112,-15.600384,-15.942854,-5.682441,-13.43182,-10.177139,-14.48954,-4.188041,-14.398014,0.5954475,-1.5543778,-0.021995688,-0.07479172,-0.051743004,0.011083726,0.61077124,0.30259198,-0.4420736,-0.028166926,0.3677638,-0.15224569,-0.34193483,0.33849597,3.8394327,-0.34067678,0.49318814,0.14574146,-0.29248476,0.53843045,-0.3275485,-0.009723902,-0.3446889,0.09566164,1.1349578,0.1902008,1,XC1017589 - sabiá-laranjeira - Turdus rufiventris.wav
-203.1247,12.922698,-45.60544,7.7927165,1.2674428,6.785007,-17.306383,13.256722,-9.7297735,7.379753,-11.903769,10.971334,-10.898257,11.458809,5.438534,11.275507,7.3722405,7.522507,7.759197,7.307798,7.6414747,7.3677626,7.090369,7.8345165,6.570292,7.62145,-157.48242,36.25183,-24.866129,25.422176,25.291727,26.096325,4.6273394,37.75749,12.942202,28.140545,18.443369,33.287727,9.101065,-235.48473,-9.032633,-87.071335,-14.049229,-26.142006,-16.49222,-36.3684,-6.0945435,-39.123337,-14.500534,-32.01384,-6.373787,-34.76906,-204.18567,13.066318,-43.564728,7.747936,0.60252744,6.9556446,-16.85897,12.248909,-9.646428,7.898061,-12.415876,10.680348,-9.771686,0.72114944,-0.15635845,-0.7686861,-0.07339892,0.22299565,-0.25355053,0.010338836,0.76721984,-0.18929285,-0.33349872,0.5811603,0.25422347,-0.6468751,1.1691465,2.051415,0.34959912,-0.3089261,0.16228294,-0.095887184,-0.0093996525,0.50893474,0.59568,0.2187252,0.9567778,-0.13457441,0.5488472,1,AUG_0_XC1017589 - sabiá-laranjeira - Turdus rufiventris.wav
-211.2728,-2.3792367,-44.661247,6.2983403,10.601581,-10.602543,-1.4671553,2.9763343,-3.8535767,-3.778511,0.3077293,-0.3973983,-3.2138982,13.730941,6.529346,11.790844,7.9376345,8.531254,7.8382683,8.215585,6.9522257,8.498063,7.9826307,7.840353,8.768367,6.8070374,-160.91353,13.760078,-20.062675,32.99978,35.333908,18.664974,27.873726,24.296726,17.32399,22.82965,22.55997,29.858957,15.675291,-274.47006,-31.2555,-82.13107,-16.252975,-13.944401,-32.806538,-22.593884,-15.21789,-35.444702,-29.297977,-17.399769,-31.603172,-26.99662,-212.32387,-1.5880818,-42.73072,5.7129836,10.7259,-10.380431,-2.804535,2.1557531,-2.5894256,-3.9910607,-0.029726565,0.2656011,-3.1824331,0.51321757,-0.8886407,-0.7137629,0.42231217,0.033413257,-0.114125244,0.86524194,0.35864845,-0.633562,0.2503814,0.21270244,-0.4156131,-0.038805682,1.7883849,1.6544456,0.20632696,0.021541357,-0.19495225,-0.03102851,1.0974231,-0.102796316,0.4766209,0.62497807,-0.39182281,0.98210216,0.38983488,1,AUG_1_XC1017589 - sabiá-laranjeira - Turdus rufiventris.wav
-255.2891,25.876123,-99.5847,8.573399,-10.195068,-15.466504,-15.407344,-5.011153,-14.381375,-10.260466,-14.232344,-4.247225,-15.152838,21.896448,14.113814,16.614382,10.407011,9.308171,9.147345,9.094196,7.3476,9.818025,8.017574,8.907006,8.351518,7.046218,-172.61613,57.90411,-46.267273,40.44541,16.202953,8.51849,14.1911545,18.198914,7.6383047,10.872944,12.061132,21.460499,7.8317933,-298.2144,-32.505524,-144.35158,-32.083935,-41.93553,-39.505318,-36.032635,-22.238255,-50.04705,-33.58885,-37.7213,-32.08845,-36.078415,-257.15927,28.343967,-100.47629,8.079006,-10.029112,-15.600384,-15.942854,-5.682441,-13.43182,-10.177139,-14.48954,-4.188041,-14.398014,0.5954475,-1.5543778,-0.021995688,-0.07479172,-0.051743004,0.011083726,0.61077124,0.30259198,-0.4420736,-0.028166926,0.3677638,-0.15224569,-0.34193483,0.33849597,3.8394327,-0.34067678,0.49318814,0.14574146,-0.29248476,0.53843045,-0.3275485,-0.009723902,-0.3446889,0.09566164,1.1349578,0.1902008,1,AUG_2_XC1017589 - sabiá-laranjeira - Turdus rufiventris.wav
-262.6178,10.890336,-95.42101,10.985672,-12.225896,-19.12872,-12.280469,-9.27198,-14.115013,-13.892375,-10.359986,-8.985081,-12.5854845,21.573895,13.665704,16.784058,11.291836,9.18821,9.7547455,9.063245,7.483036,9.240797,9.51302,8.089372,8.72203,7.589006,-182.36223,42.902542,-49.421654,41.216778,18.311295,7.296786,18.632565,17.74303,12.871647,19.085564,8.996948,13.920584,14.082687,-305.6531,-45.35708,-141.34758,-28.699123,-34.579376,-40.492043,-36.50523,-30.946707,-39.91398,-38.337227,-32.47691,-36.970463,-39.844486,-264.4046,13.515177,-95.78625,10.301104,-12.22689,-20.066673,-13.396061,-10.236844,-13.324647,-13.861893,-10.310654,-7.984706,-11.987182,0.5480057,-1.5415037,-0.07017481,-0.057885583,0.14922653,0.19343017,0.75735825,0.3551455,-0.2511217,0.28921,-0.059872534,-0.49750254,-0.13451383,0.20905209,3.5094419,-0.50163674,0.22725916,-0.049043417,-0.4164288,0.9381492,0.19186616,-0.14231277,0.59451914,-0.51758194,0.49786448,0.8210447,1,AUG_3_XC1017589 - sabiá-laranjeira - Turdus rufiventris.wav
-485.4017,41.414883,-123.51307,-34.873955,7.7252073,-12.259068,14.535283,-4.9500184,-17.60056,14.635727,-2.9196358,-13.337725,13.459007,24.52477,8.632221,27.522036,13.610999,17.41324,10.516571,12.981449,11.299332,12.68816,13.356232,13.373203,12.355433,12.097828,-384.71512,87.60091,-79.94607,-11.319426,82.179184,33.95797,58.539772,40.63423,26.555084,54.507683,47.606464,40.508636,57.914948,-532.0966,25.565708,-231.83731,-113.040955,-17.817688,-38.39142,-41.876305,-51.734947,-60.920895,-38.956333,-58.225018,-51.703056,-32.435844,-491.9193,39.59813,-114.6058,-32.303917,2.8483586,-13.922579,15.719362,-4.806029,-17.04464,16.253185,-4.0086584,-14.208539,14.219389,1.2256157,1.4464558,-1.3962138,-1.4679751,1.7642776,0.905829,-1.0536848,-0.2800524,-0.43925723,-0.83558875,0.6617217,0.6945479,-0.6000645,1.3635683,3.3325276,1.7314162,4.031411,3.2630424,1.2719312,2.3279433,2.4781308,1.2138758,2.467763,3.027926,2.3950038,2.3066373,1,XC1032057 - sabiá-laranjeira - Turdus rufiventris.wav
-483.91907,40.545742,-122.02209,-34.649914,7.9929194,-11.543522,14.577986,-4.7189794,-17.327024,14.507747,-2.8316329,-13.357435,13.262871,24.4983,8.535872,27.574234,13.604759,17.42198,10.48725,12.9562845,11.295946,12.690144,13.334818,13.38118,12.3344555,12.092941,-385.15524,86.16981,-70.02008,-11.587364,81.51796,33.05796,57.997364,40.53708,26.695347,54.66649,48.246178,38.92966,54.381336,-522.6251,24.462372,-230.67406,-113.54232,-18.256699,-37.26263,-41.223343,-52.299606,-62.926605,-39.06991,-57.487755,-52.62294,-34.052895,-490.40942,38.734016,-113.4195,-32.196518,3.064081,-13.1203575,15.932403,-4.6165376,-16.764654,15.985195,-3.9859552,-14.411316,13.946012,1.2343655,1.3962278,-1.383795,-1.4795356,1.7629972,0.9125153,-1.0552092,-0.2674647,-0.43943003,-0.8417454,0.6643004,0.69978184,-0.6037271,1.3712053,3.1566052,1.7199907,4.084185,3.265418,1.2828703,2.35389,2.4505296,1.2185616,2.4985552,3.0215268,2.3974357,2.3351088,1,AUG_0_XC1032057 - sabiá-laranjeira - Turdus rufiventris.wav
-485.4017,41.414883,-123.51307,-34.873955,7.7252073,-12.259068,14.535283,-4.9500184,-17.60056,14.635727,-2.9196358,-13.337725,13.459007,24.52477,8.632221,27.522036,13.610999,17.41324,10.516571,12.981449,11.299332,12.68816,13.356232,13.373203,12.355433,12.097828,-384.71512,87.60091,-79.94607,-11.319426,82.179184,33.95797,58.539772,40.63423,26.555084,54.507683,47.606464,40.508636,57.914948,-532.0966,25.565708,-231.83731,-113.040955,-17.817688,-38.39142,-41.876305,-51.734947,-60.920895,-38.956333,-58.225018,-51.703056,-32.435844,-491.9193,39.59813,-114.6058,-32.303917,2.8483586,-13.922579,15.719362,-4.806029,-17.04464,16.253185,-4.0086584,-14.208539,14.219389,1.2256157,1.4464558,-1.3962138,-1.4679751,1.7642776,0.905829,-1.0536848,-0.2800524,-0.43925723,-0.83558875,0.6617217,0.6945479,-0.6000645,1.3635683,3.3325276,1.7314162,4.031411,3.2630424,1.2719312,2.3279433,2.4781308,1.2138758,2.467763,3.027926,2.3950038,2.3066373,1,AUG_1_XC1032057 - sabiá-laranjeira - Turdus rufiventris.wav
-491.68555,29.412376,-125.01599,-22.527626,8.796088,-8.301148,15.178575,-13.305182,-9.673123,15.860356,-11.978033,-2.7939985,16.437876,24.760662,8.012575,28.1189,12.510942,18.021946,10.007805,13.664822,10.906949,13.102675,13.726306,13.231161,13.333979,11.36903,-386.56375,68.924484,-76.174484,0.1712994,80.32492,31.762169,53.224655,24.78445,27.715004,65.338455,37.738174,42.804462,59.339275,-548.5088,14.795946,-236.1165,-91.75499,-18.984713,-46.230156,-38.051727,-61.213955,-69.88705,-41.509903,-55.799606,-53.856327,-25.184172,-498.24292,27.982359,-116.02693,-20.324316,3.3931227,-9.332304,16.786552,-13.709692,-8.705448,16.60339,-13.432634,-2.4302359,17.807411,1.2460765,1.410978,-1.4068027,-1.4988135,1.596656,0.4770753,-0.981803,-0.21623132,-0.71915126,-0.19269785,0.97066826,-0.24652068,-0.5745556,1.5138869,3.0414371,1.7885637,4.0776916,2.435709,1.0551271,1.5944362,2.1803145,1.3925767,2.529706,2.1066961,2.6821365,1.5330839,1,AUG_2_XC1032057 - sabiá-laranjeira - Turdus rufiventris.wav
-241.65413,-1.9289907,-12.666011,-3.8579679,5.231891,3.8470159,0.852733,-3.113855,-2.54858,2.8219628,1.0840495,-2.768283,0.36558312,12.706946,4.732569,14.866008,8.46884,10.273868,7.966191,7.942251,7.973161,7.723004,9.120071,7.642424,7.9103494,7.3601546,-184.34137,23.586231,6.6238937,12.564416,57.19855,43.1948,29.058573,21.77971,25.524824,35.75528,32.874435,31.874166,34.237473,-283.59042,-15.057557,-83.37247,-56.85723,-11.806168,-10.406092,-31.076946,-42.519356,-39.245804,-34.22855,-34.783546,-30.37323,-31.694023,-246.39066,-2.3298628,-7.2205725,-1.863991,2.1653981,2.1424491,1.7074969,-1.7319285,-2.162579,2.699668,0.27444398,-2.889313,1.1494576,1.592158,0.976959,-1.8961911,-1.6847175,2.1943042,1.6401656,-1.0128028,-1.5858061,-0.6455448,0.18798888,0.7077807,0.34008762,-0.619378,2.7932825,2.7120748,3.6944137,4.948414,5.2649183,3.2148485,3.1308794,4.843204,2.7752013,3.2391243,4.398568,2.9797344,4.7211123,1,AUG_3_XC1032057 - sabiá-laranjeira - Turdus rufiventris.wav
